country_code,country_name,region,income_level,capital_city,longitude,latitude,is_fragile_or_conflict,gdp_growth_pct,gdp_growth_pct_year,gdp_per_capita_usd,gdp_per_capita_usd_year,population,population_year,pop_growth_pct,pop_growth_pct_year,urban_pop_pct,urban_pop_pct_year,internet_users_pct,internet_users_pct_year,mobile_subs_per100,mobile_subs_per100_year,life_expectancy,life_expectancy_year,inflation_pct,inflation_pct_year,unemployment_pct,unemployment_pct_year,self_employed_pct,self_employed_pct_year,agriculture_pct_gdp,agriculture_pct_gdp_year,poverty_headcount_pct,poverty_headcount_pct_year,business_reg_rating,business_reg_rating_year
ABW,Aruba,Latin America & Caribbean ,High income,Oranjestad,-70.0167,12.5167,False,,,,,108785,2025,0.728852751394889,2025,61.7485249229588,2025,97.17,2023.0,,,76.5,2024,,,,,,,,,,,,
AFG,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income,Kabul,69.1761,34.5228,True,,,,,43844111,2025,2.76719430653303,2025,25.9401644699898,2025,16.09499931,2025.0,,,66.289,2024,,,13.351,2025.0,83.4001611011252,2025.0,,,,,2.0,2025.0
AGO,Angola,Sub-Saharan Africa ,Lower middle income,Luanda,13.242,-8.81155,False,3.13353542450008,2025.0,3129.47662331063,2025.0,39040039,2025,3.00100954627922,2025,71.4615915176085,2025,40.70479965,2025.0,,,64.805,2024,20.1620197572331,2025.0,14.108,2025.0,75.9049595584427,2025.0,25.2409853888143,2025.0,39.3,2024.0,,
ALB,Albania,Europe & Central Asia,Upper middle income,Tirane,19.8172,41.3317,False,3.78893836241024,2025.0,12998.147869552,2025.0,2349580,2025,-1.16564475393365,2025,58.871474331067,2025,85.86389923,2025.0,,,79.776,2024,2.14618551167388,2025.0,10.926,2025.0,50.2796648858816,2025.0,14.7972607481894,2025.0,0.3,2025.0,,
AND,Andorra,Europe & Central Asia,High income,Andorra la Vella,1.5218,42.5075,False,3.86803450687808,2025.0,54291.5026031052,2025.0,82904,2025,1.17204481645642,2025,88.9492672283129,2025,94.39759827,2025.0,,,84.188,2024,,,,,,,0.484029292810106,2025.0,,,,
ARE,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",High income,Abu Dhabi,54.3705,24.4764,False,,,,,11513149,2025,4.68316292656212,2025,85.9617641324017,2025,100.0,2025.0,,,83.069,2024,1.250865245598,2025.0,2.174,2025.0,5.06630975842524,2025.0,,,0.0,2024.0,,
ARG,Argentina,Latin America & Caribbean ,Upper middle income,Buenos Aires,-58.4173,-34.6118,False,4.36733330217022,2025.0,14898.0885943842,2025.0,45851378,2025,0.339100654860035,2025,92.3519221615173,2025,89.66715228,2025.0,,,77.543,2024,,,7.145,2025.0,25.5757392075766,2025.0,5.53265388071299,2025.0,1.0,2025.0,,
ARM,Armenia,Europe & Central Asia,Upper middle income,Yerevan,44.509,40.1596,False,7.2,2025.0,9474.01849300368,2025.0,3086700,2025,1.73854906675217,2025,65.9287015589872,2025,81.33930206,2025.0,,,78.319512195122,2024,3.30693341072904,2025.0,12.871,2025.0,33.6643743470283,2025.0,7.93468177320685,2025.0,0.8,2025.0,,
ASM,American Samoa,East Asia & Pacific,High income,Pago Pago,-170.691,-14.2846,False,,,,,46029,2025,-1.5863427255336,2025,80.5123508239818,2025,,,,,72.992,2024,,,,,,,,,,,,
ATG,Antigua and Barbuda,Latin America & Caribbean ,High income,Saint John's,-61.8456,17.1175,False,4.99803998431987,2025.0,24819.2454680158,2025.0,94209,2025,0.464941443253073,2025,24.3334834700661,2025,72.73040009,2025.0,,,77.766,2024,1.36873527521954,2025.0,,,,,1.4857923090448,2025.0,,,,
